query/vacuum.c:3608 | 5899320 (new)
transaction/log_tran_table.c:3334 | 4929600 (new)
transaction/log_compress.c:206 | 3400504 (new)
query/vacuum.c:3589 | 2881080 (new)
base/memory_alloc.c:467 | 2576096 (=2598800-22704)
transaction/log_append.cpp:1806 | 1421464 (new)
heaplayers/heaps/./top/mallocheap.h:63 | 997896 (=1027056-29160)
transaction/log_system_tran.cpp:44 | 477720 (=488336-10616)
transaction/locator.c:453 | 194432 (=206800-12368)
query/vacuum.c:3598 | 185464 (new)
base/memory_hash.c:935 | 79952 (=1912096-1832144)
session/session.c:260 | 69520 (=103920-34400)
connection/connection_sr.c:1915 | 65200 (=65344-144)
storage/double_write_buffer.c:1269 | 52000 (=72800-20800)
connection/connection_list_sr.c:175 | 48880 (=48960-80)
query/query_manager.c:294 | 40832 (new)
transaction/log_tran_table.c:173 | 36704 (new)
transaction/log_compress.c:238 | 34840 (new)
connection/connection_sr.c:2079 | 21632 (new)
connection/connection_sr.c:2552 | 16800 (=16856-56)
thread/critical_section.c:2335 | 16424 (=131392-114968)
base/error_manager.c:2886 | 15552 (=130552-115000)
base/memory_hash.c:915 | 12304 (=286208-273904)
connection/server_support.c:1198 | 12096 (=12136-40)
storage/heap_file.c:1044 | 10080 (new)
query/xasl_cache.c:2119 | 8216 (new)
transaction/mvcc_active_tran.cpp:57 | 8040 (=16490040-16482000)
connection/server_support.c:1903 | 7200 (=7224-24)
heaplayers/customheaps.cpp:50 | 6608 (=151632-145024)
base/object_representation_sr.c:2440 | 5488 (=11752-6264)
transaction/locator.c:1696 | 5200 (new)
storage/file_io.c:5964 | 4136 (=8272-4136)
transaction/mvcc_active_tran.cpp:54 | 4024 (=8253224-8249200)
connection/connection_sr.c:2402 | 1496 (new)
query/xasl_cache.c:1417 | 504 (new)
sp/pl_connection.cpp:222 | 400 (=480-80)
connection/connection_sr.c:3091 | 360 (=720-360)
storage/double_write_buffer.c:487 | 256 (new)
base/object_representation_sr.c:2334 | 208 (=408-200)
base/object_representation_sr.c:2407 | 176 (=440-264)
transaction/locator.c:317 | 168 (new)
thread/thread_entry.cpp:407 | 160 (=184-24)
query/partition.c:502 | 136 (new)
base/object_representation_sr.c:1965 | 80 (=176-96)
storage/heap_file.c:23704 | 80 (=208-128)
base/object_representation_sr.c:1897 | 64 (=128-64)
base/object_representation_sr.c:1904 | 48 (=96-48)
query/xasl_cache.c:1392 | 40 (new)
query/partition.c:487 | 40 (new)
storage/disk_manager.c:1017 | 0 (new)
transaction/log_append.cpp:616 | 0 (new)
storage/heap_file.c:9485 | 0 (new)
base/system_parameter.c:12354 | 0 (new)
transaction/log_append.cpp:1116 | 0 (new)
transaction/log_append.cpp:1187 | 0 (new)
base/object_representation_sr.c:594 | 0 (new)
transaction/log_append.cpp:417 | 0 (new)
transaction/log_append.cpp:500 | 0 (new)
transaction/log_append.cpp:531 | 0 (new)
transaction/log_append.cpp:571 | 0 (new)
storage/slotted_page.c:1193 | 0 (new)
transaction/log_append.cpp:844 | 0 (new)
storage/disk_manager.c:1025 | 0 (new)
query/query_executor.c:2883 | 0 (new)
transaction/log_page_buffer.c:5688 | 0 (new)
transaction/log_page_buffer.c:7026 | 0 (new)
transaction/log_page_buffer.c:7106 | 0 (new)
query/list_file.c:470 | 0 (new)
query/list_file.c:532 | 0 (new)
query/xasl_cache.c:2110 | 0 (new)
query/query_executor.c:11140 | 0 (new)
query/vacuum.c:3138 | 0 (new)
